start_state,oracle_target,valley_required,random_terminal,random_best_seen,random_steps,random_min_delta,random_downhill_steps,random_regret,greedy_terminal,greedy_best_seen,greedy_steps,greedy_min_delta,greedy_downhill_steps,greedy_regret,beam_terminal,beam_best_seen,beam_steps,beam_min_delta,beam_downhill_steps,beam_regret,lookahead_terminal,lookahead_best_seen,lookahead_steps,lookahead_min_delta,lookahead_downhill_steps,lookahead_regret,oracle_terminal,oracle_best_seen,oracle_steps,oracle_min_delta,oracle_downhill_steps,oracle_regret
10,64,True,1.5607224119999998,1.5607224119999998,3,-0.15484872875,1,0.0,1.377814536,1.377814536,1,0.06078189899999997,0,0.1829078759999998,1.5607224119999998,1.5607224119999998,3,-0.15484872875,1,0.0,1.5607224119999998,1.5607224119999998,3,-0.15484872875,1,0.0,1.5607224119999998,1.5607224119999998,3,-0.15484872875,1,0.0
13,61,False,1.622197528,1.622197528,1,0.04420778600000008,0,0.0,1.622197528,1.622197528,1,0.04420778600000008,0,0.0,1.622197528,1.622197528,1,0.04420778600000008,0,0.0,1.622197528,1.622197528,1,0.04420778600000008,0,0.0,1.622197528,1.622197528,1,0.04420778600000008,0,0.0
22,157,False,1.755713189,1.755713189,2,0.0345522949999999,0,0.0,1.755713189,1.755713189,2,0.0345522949999999,0,0.0,1.429176356,1.5735970190000002,3,-0.28980968800000007,1,0.326536833,1.755713189,1.755713189,2,0.0345522949999999,0,0.0,1.755713189,1.755713189,2,0.0345522949999999,0,0.0
29,64,True,1.377814536,1.4854649,3,-0.17486470374999996,2,0.1829078759999998,1.4854649,1.4854649,0,0.0,0,0.07525751199999986,1.5607224119999998,1.5607224119999998,3,-0.17486470374999996,2,0.0,1.5607224119999998,1.5607224119999998,3,-0.17486470374999996,2,0.0,1.5607224119999998,1.5607224119999998,3,-0.17486470374999996,2,0.0
31,84,False,1.557905409,1.557905409,1,0.17985875400000007,0,0.0,1.557905409,1.557905409,1,0.17985875400000007,0,0.0,1.557905409,1.557905409,1,0.17985875400000007,0,0.0,1.557905409,1.557905409,1,0.17985875400000007,0,0.0,1.557905409,1.557905409,1,0.17985875400000007,0,0.0
43,43,False,1.183802665,1.506822593,1,-0.3230199280000001,1,0.3230199280000001,1.506822593,1.506822593,0,0.0,0,0.0,1.183802665,1.506822593,1,-0.3230199280000001,1,0.3230199280000001,1.183802665,1.506822593,1,-0.3230199280000001,1,0.3230199280000001,1.506822593,1.506822593,0,0.0,0,0.0
49,1004,False,1.49521781,1.49521781,3,-0.0026681310000000735,1,0.0,1.49521781,1.49521781,3,0.015751758999999588,0,0.0,1.49521781,1.49521781,3,0.015751758999999588,0,0.0,1.49521781,1.49521781,3,0.015751758999999588,0,0.0,1.49521781,1.49521781,3,0.015751758999999588,0,0.0
51,51,False,1.303794172,1.515916339,2,-0.13440794700000014,2,0.21212216699999997,1.515916339,1.515916339,0,0.0,0,0.0,1.303794172,1.515916339,2,-0.13440794700000014,2,0.21212216699999997,1.303794172,1.515916339,2,-0.13440794700000014,2,0.21212216699999997,1.515916339,1.515916339,0,0.0,0,0.0
52,162,True,1.350465366,1.357939206,3,-0.15163978600000005,2,0.09958494700000031,1.357939206,1.357939206,0,0.0,0,0.09211110700000025,1.4500503130000002,1.4500503130000002,3,-0.15163978600000005,1,0.0,1.4500503130000002,1.4500503130000002,3,-0.15163978600000005,1,0.0,1.4500503130000002,1.4500503130000002,3,-0.15163978600000005,1,0.0
63,64,False,1.4854649,1.4854649,3,0.047481106250000016,0,0.07525751199999986,1.2324764398333334,1.2324764398333334,1,0.056991738833333416,0,0.3282459721666664,1.4854649,1.4854649,3,0.047481106250000016,0,0.07525751199999986,1.5607224119999998,1.5607224119999998,2,0.047481106250000016,0,0.0,1.5607224119999998,1.5607224119999998,2,0.047481106250000016,0,0.0
65,64,True,1.4854649,1.4854649,1,0.08763438899999998,0,0.07525751199999986,1.4854649,1.4854649,1,0.08763438899999998,0,0.07525751199999986,1.317032637,1.397830511,3,-0.17486470374999996,2,0.24368977499999978,1.5607224119999998,1.5607224119999998,2,-0.17486470374999996,1,0.0,1.5607224119999998,1.5607224119999998,2,-0.17486470374999996,1,0.0
66,23,False,0.992787564,1.667267101,2,-0.674479537,1,0.674479537,1.667267101,1.667267101,1,0.14756210000000003,0,0.0,0.992787564,1.667267101,2,-0.674479537,1,0.674479537,0.992787564,1.667267101,2,-0.674479537,1,0.674479537,1.667267101,1.667267101,1,0.14756210000000003,0,0.0
69,157,False,1.283787331,1.721160894,3,-0.28980968800000007,2,0.47192585799999986,1.755713189,1.755713189,1,0.0345522949999999,0,0.0,1.283787331,1.721160894,3,-0.28980968800000007,2,0.47192585799999986,1.755713189,1.755713189,1,0.0345522949999999,0,0.0,1.755713189,1.755713189,1,0.0345522949999999,0,0.0
